DATETIME,PRICE,CARRY,CARRY_CONTRACT,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2014-02-03 07:13:39,,,20140600,20140300,,20140600
2014-02-03 07:19:01,,,20140600,20140300,,20140600
2014-02-03 07:24:21,,,20140600,20140300,,20140600
2014-02-03 07:29:43,,,20140600,20140300,,20140600
2014-02-03 07:35:01,,,20140600,20140300,,20140600
2014-02-03 07:40:23,,,20140600,20140300,,20140600
2014-02-03 07:45:46,,,20140600,20140300,,20140600
2014-02-03 07:51:05,,,20140600,20140300,,20140600
2014-02-03 07:56:27,,,20140600,20140300,,20140600
2014-02-03 08:01:48,,,20140600,20140300,,20140600
2014-02-03 08:12:23,,,20140600,20140300,,20140600
2014-02-03 08:26:07,,,20140600,20140300,,20140600
2014-02-03 08:37:52,,,20140600,20140300,,20140600
2014-02-03 08:51:30,,,20140600,20140300,,20140600
2014-02-03 23:00:00,105.75,,20140600,20140300,,20140600
2014-02-04 01:02:58,105.8425,,20140600,20140300,,20140600
2014-02-04 02:02:59,105.875,,20140600,20140300,,20140600
2014-02-04 03:02:59,105.875,,20140600,20140300,,20140600
2014-02-04 04:03:04,105.875,,20140600,20140300,,20140600
2014-02-04 05:03:06,105.855,,20140600,20140300,,20140600
2014-02-04 06:03:06,105.901666667,,20140600,20140300,,20140600
2014-02-04 07:03:06,,,20140600,20140300,,20140600
2014-02-04 08:11:59,,,20140600,20140300,,20140600
2014-02-04 23:00:00,105.89,,20140600,20140300,,20140600
2014-02-05 01:07:01,105.895,,20140600,20140300,,20140600
2014-02-05 02:07:01,105.885,,20140600,20140300,,20140600
2014-02-05 03:07:02,105.905,,20140600,20140300,,20140600
2014-02-05 04:07:04,105.925,,20140600,20140300,,20140600
2014-02-05 05:07:04,105.925,,20140600,20140300,,20140600
2014-02-05 06:07:04,,,20140600,20140300,,20140600
2014-02-05 07:07:04,,,20140600,20140300,,20140600
2014-02-05 08:12:25,,,20140600,20140300,,20140600
2014-02-05 23:00:00,105.85,,20140600,20140300,,20140600
2014-02-06 23:00:00,105.87,,20140600,20140300,,20140600
2014-02-07 23:00:00,105.84,,20140600,20140300,,20140600
2014-02-10 23:00:00,105.9,,20140600,20140300,,20140600
2014-02-11 01:07:32,105.915,,20140600,20140300,,20140600
2014-02-11 02:07:32,105.935,,20140600,20140300,,20140600
2014-02-11 03:07:32,105.935,,20140600,20140300,,20140600
2014-02-11 04:08:02,105.945,,20140600,20140300,,20140600
2014-02-11 05:08:04,105.935,,20140600,20140300,,20140600
2014-02-11 23:00:00,105.92,,20140600,20140300,,20140600
2014-02-12 01:02:19,105.885,,20140600,20140300,,20140600
2014-02-12 02:02:20,105.895,,20140600,20140300,,20140600
2014-02-12 03:02:24,105.885,,20140600,20140300,,20140600
2014-02-12 04:04:50,105.885,,20140600,20140300,,20140600
2014-02-12 05:04:50,105.895,,20140600,20140300,,20140600
2014-02-12 23:00:00,105.92,,20140600,20140300,,20140600
2014-02-13 01:04:03,105.875,,20140600,20140300,,20140600
2014-02-13 02:04:08,105.915,,20140600,20140300,,20140600
2014-02-13 03:04:12,105.935,,20140600,20140300,,20140600
2014-02-13 04:05:26,105.955,,20140600,20140300,,20140600
2014-02-13 05:05:26,105.935,,20140600,20140300,,20140600
2014-02-13 23:00:00,105.95,,20140600,20140300,,20140600
2014-02-14 01:04:06,105.925,,20140600,20140300,,20140600
2014-02-14 02:04:06,105.915,,20140600,20140300,,20140600
2014-02-14 03:04:14,105.93625,,20140600,20140300,,20140600
2014-02-14 04:06:01,105.955,,20140600,20140300,,20140600
2014-02-14 05:06:09,105.975,,20140600,20140300,,20140600
2014-02-14 23:00:00,105.97,,20140600,20140300,,20140600
2014-02-17 01:05:50,105.935,,20140600,20140300,,20140600
2014-02-17 02:05:50,105.925,,20140600,20140300,,20140600
2014-02-17 03:05:50,105.935,,20140600,20140300,,20140600
2014-02-17 04:05:51,105.935,,20140600,20140300,,20140600
2014-02-17 05:05:58,105.955,,20140600,20140300,,20140600
2014-02-17 23:00:00,105.92,,20140600,20140300,,20140600
2014-02-18 23:00:00,105.89,,20140600,20140300,,20140600
2014-02-19 01:04:07,105.915,,20140600,20140300,,20140600
2014-02-19 02:04:07,105.915,,20140600,20140300,,20140600
2014-02-19 23:00:00,105.93,,20140600,20140300,,20140600
2014-02-20 01:02:42,105.895,,20140600,20140300,,20140600
2014-02-20 02:02:42,105.915,,20140600,20140300,,20140600
2014-02-20 03:02:42,105.925,,20140600,20140300,,20140600
2014-02-20 04:05:15,105.935,,20140600,20140300,,20140600
2014-02-20 05:05:26,105.941666667,,20140600,20140300,,20140600
2014-02-20 23:00:00,105.93,,20140600,20140300,,20140600
2014-02-21 01:02:30,105.865,,20140600,20140300,,20140600
2014-02-21 02:02:30,105.885,,20140600,20140300,,20140600
2014-02-21 03:02:31,105.865,,20140600,20140300,,20140600
2014-02-21 04:04:53,105.865,,20140600,20140300,,20140600
2014-02-21 05:05:01,105.875,,20140600,20140300,,20140600
2014-02-21 23:00:00,105.85,,20140600,20140300,,20140600
2014-02-24 01:06:07,105.875,,20140600,20140300,,20140600
2014-02-24 02:06:07,105.895,,20140600,20140300,,20140600
2014-02-24 03:06:07,105.895,,20140600,20140300,,20140600
2014-02-24 04:07:17,105.895,,20140600,20140300,,20140600
2014-02-24 05:13:47,105.905,,20140600,20140300,,20140600
2014-02-24 23:00:00,105.89,,20140600,20140300,,20140600
2014-02-25 01:22:30,105.915,,20140600,20140300,,20140600
2014-02-25 01:52:31,105.915,,20140600,20140300,,20140600
2014-02-25 02:22:31,105.935,,20140600,20140300,,20140600
2014-02-25 02:52:37,105.925,,20140600,20140300,,20140600
2014-02-25 03:22:37,105.925,,20140600,20140300,,20140600
2014-02-25 03:52:41,105.925,,20140600,20140300,,20140600
2014-02-25 04:23:08,105.915,,20140600,20140300,,20140600
2014-02-25 04:53:35,105.895,,20140600,20140300,,20140600
2014-02-25 06:43:59,,,20140600,20140300,,20140600
2014-02-25 07:55:05,,,20140600,20140300,,20140600
2014-02-25 08:45:33,,,20140600,20140300,,20140600
2014-02-25 23:00:00,105.94,,20140600,20140300,,20140600
2014-02-26 01:26:15,105.985,,20140600,20140300,,20140600
2014-02-26 01:56:18,105.985,,20140600,20140300,,20140600
2014-02-26 02:26:17,105.9675,,20140600,20140300,,20140600
2014-02-26 02:56:17,105.975,,20140600,20140300,,20140600
2014-02-26 03:26:18,105.975,,20140600,20140300,,20140600
2014-02-26 03:56:23,105.955,,20140600,20140300,,20140600
2014-02-26 04:27:00,105.965,,20140600,20140300,,20140600
2014-02-26 04:57:00,105.955,,20140600,20140300,,20140600
2014-02-26 05:27:00,105.945,,20140600,20140300,,20140600
2014-02-26 05:57:00,105.945,,20140600,20140300,,20140600
2014-02-26 06:43:51,,,20140600,20140300,,20140600
2014-02-26 07:25:21,,,20140600,20140300,,20140600
2014-02-26 08:06:45,,,20140600,20140300,,20140600
2014-02-26 08:47:56,,,20140600,20140300,,20140600
2014-02-26 23:00:00,105.92,,20140600,20140300,,20140600
2014-02-27 23:00:00,105.97,,20140600,20140300,,20140600
2014-02-28 01:21:56,105.935,,20140600,20140300,,20140600
2014-02-28 01:51:57,105.945,,20140600,20140300,,20140600
2014-02-28 02:22:04,105.945,,20140600,20140300,,20140600
2014-02-28 02:52:09,105.945,,20140600,20140300,,20140600
2014-02-28 03:22:09,105.965,,20140600,20140300,,20140600
2014-02-28 03:52:10,105.975,,20140600,20140300,,20140600
2014-02-28 04:22:11,105.975,,20140600,20140300,,20140600
2014-02-28 04:52:38,105.975,,20140600,20140300,,20140600
2014-02-28 05:22:39,105.965,,20140600,20140300,,20140600
2014-02-28 23:00:00,105.98,,20140600,20140300,,20140600
2014-03-03 23:00:00,105.8,,20140600,20140300,,20140600
2014-03-04 01:20:04,105.815,,20140600,20140300,,20140600
2014-03-04 01:50:04,105.775,,20140600,20140300,,20140600
2014-03-04 02:20:04,105.785,,20140600,20140300,,20140600
2014-03-04 02:50:04,105.785,,20140600,20140300,,20140600
2014-03-04 03:20:04,105.765,,20140600,20140300,,20140600
2014-03-04 03:50:06,105.775,,20140600,20140300,,20140600
2014-03-04 04:20:47,105.765,,20140600,20140300,,20140600
2014-03-04 23:00:00,105.78,,20140600,20140300,,20140600
2014-03-05 23:00:00,105.84,,20140600,20140300,,20140600
2014-03-06 01:25:52,105.855,,20140600,20140300,,20140600
2014-03-06 01:55:59,105.835,,20140600,20140300,,20140600
2014-03-06 02:26:10,105.845,,20140600,20140300,,20140600
2014-03-06 02:56:10,105.845,,20140600,20140300,,20140600
2014-03-06 03:26:10,105.835,,20140600,20140300,,20140600
2014-03-06 03:56:11,105.835,,20140600,20140300,,20140600
2014-03-06 04:27:39,105.815,,20140600,20140300,,20140600
2014-03-06 04:57:50,105.81,,20140600,20140300,,20140600
2014-03-06 05:27:50,105.815,,20140600,20140300,,20140600
2014-03-06 23:00:00,105.84,,20140600,20140300,,20140600
2014-03-07 01:26:15,105.835,,20140600,20140300,,20140600
2014-03-07 01:56:19,105.825,,20140600,20140300,,20140600
2014-03-07 02:26:25,105.835,,20140600,20140300,,20140600
2014-03-07 02:56:57,105.825,,20140600,20140300,,20140600
2014-03-07 03:26:57,105.825,,20140600,20140300,,20140600
2014-03-07 03:57:23,105.825,,20140600,20140300,,20140600
2014-03-07 04:27:23,105.835,,20140600,20140300,,20140600
2014-03-07 04:57:38,105.835,,20140600,20140300,,20140600
2014-03-07 05:27:41,105.815,,20140600,20140300,,20140600
2014-03-07 23:00:00,105.84,,20140600,20140300,,20140600
2014-03-10 23:00:00,105.89,105.58,20140600,20140300,105.58,20140600
