DATETIME,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT,PRICE,FORWARD,CARRY
1989-04-27 00:00:00,198909,198912,198912,95.890625,,
1989-04-28 00:00:00,198909,198912,198912,96.0625,,
1989-05-01 00:00:00,198909,198912,198912,95.640625,,
1989-05-02 00:00:00,198909,198912,198912,95.875,95.96875,95.96875
1989-05-03 00:00:00,198909,198912,198912,95.953125,96.0625,96.0625
1989-05-04 00:00:00,198909,198912,198912,96.0,96.109375,96.109375
1989-05-05 00:00:00,198909,198912,198912,96.453125,96.578125,96.578125
1989-05-08 00:00:00,198909,198912,198912,96.28125,96.40625,96.40625
1989-05-09 00:00:00,198909,198912,198912,95.703125,95.828125,95.828125
1989-05-10 00:00:00,198909,198912,198912,95.5,95.625,95.625
1989-05-11 00:00:00,198909,198912,198912,96.03125,96.15625,96.15625
1989-05-12 00:00:00,198909,198912,198912,97.140625,97.265625,97.265625
1989-05-15 00:00:00,198909,198912,198912,96.90625,97.03125,97.03125
1989-05-16 00:00:00,198909,198912,198912,96.828125,96.96875,96.96875
1989-05-17 00:00:00,198909,198912,198912,96.84375,96.96875,96.96875
1989-05-18 00:00:00,198909,198912,198912,96.796875,96.90625,96.90625
1989-05-19 00:00:00,198909,198912,198912,97.03125,97.140625,97.140625
1989-05-22 00:00:00,198909,198912,198912,97.53125,97.640625,97.640625
1989-05-23 00:00:00,198909,198912,198912,97.515625,97.625,97.625
1989-05-24 00:00:00,198909,198912,198912,97.484375,97.59375,97.59375
1989-05-25 00:00:00,198909,198912,198912,97.234375,97.34375,97.34375
1989-05-26 00:00:00,198909,198912,198912,97.328125,97.4375,97.4375
1989-05-30 00:00:00,198909,198912,198912,97.453125,97.5625,97.5625
1989-05-31 00:00:00,198909,198912,198912,97.578125,97.671875,97.671875
1989-06-01 00:00:00,198909,198912,198912,97.59375,97.6875,97.6875
1989-06-02 00:00:00,198909,198912,198912,98.484375,98.609375,98.609375
1989-06-05 00:00:00,198909,198912,198912,98.796875,98.921875,98.921875
1989-06-06 00:00:00,198909,198912,198912,98.8125,98.90625,98.90625
1989-06-07 00:00:00,198909,198912,198912,99.0625,99.15625,99.15625
1989-06-08 00:00:00,198909,198912,198912,99.171875,99.296875,99.296875
1989-06-09 00:00:00,198909,198912,198912,99.625,99.75,99.75
1989-06-12 00:00:00,198909,198912,198912,99.4375,99.5625,99.5625
1989-06-13 00:00:00,198909,198912,198912,98.9375,99.0625,99.0625
1989-06-14 00:00:00,198909,198912,198912,99.171875,99.296875,99.296875
1989-06-15 00:00:00,198909,198912,198912,98.71875,98.859375,98.859375
1989-06-16 00:00:00,198909,198912,198912,98.59375,98.734375,98.734375
1989-06-19 00:00:00,198909,198912,198912,98.546875,98.6875,98.6875
1989-06-20 00:00:00,198909,198912,198912,98.75,98.890625,98.890625
1989-06-21 00:00:00,198909,198912,198912,98.546875,98.6875,98.6875
1989-06-22 00:00:00,198909,198912,198912,98.453125,98.59375,98.59375
1989-06-23 00:00:00,198909,198912,198912,99.015625,99.140625,99.140625
1989-06-26 00:00:00,198909,198912,198912,99.25,99.390625,99.390625
1989-06-27 00:00:00,198909,198912,198912,99.53125,99.671875,99.671875
1989-06-28 00:00:00,198909,198912,198912,99.421875,99.5625,99.5625
1989-06-29 00:00:00,198909,198912,198912,99.796875,99.921875,99.921875
1989-06-30 00:00:00,198909,198912,198912,100.0,100.125,100.125
1989-07-03 00:00:00,198909,198912,198912,100.15625,100.28125,100.28125
1989-07-05 00:00:00,198909,198912,198912,100.1875,100.3125,100.3125
1989-07-06 00:00:00,198909,198912,198912,100.421875,100.515625,100.515625
1989-07-07 00:00:00,198909,198912,198912,100.640625,100.703125,100.703125
1989-07-10 00:00:00,198909,198912,198912,100.71875,100.765625,100.765625
1989-07-11 00:00:00,198909,198912,198912,100.75,100.71875,100.71875
1989-07-12 00:00:00,198909,198912,198912,100.84375,100.796875,100.796875
1989-07-13 00:00:00,198909,198912,198912,100.859375,100.765625,100.765625
1989-07-14 00:00:00,198909,198912,198912,100.734375,100.65625,100.65625
1989-07-17 00:00:00,198909,198912,198912,100.609375,100.546875,100.546875
1989-07-18 00:00:00,198909,198912,198912,100.140625,100.09375,100.09375
1989-07-19 00:00:00,198909,198912,198912,100.46875,100.421875,100.421875
1989-07-20 00:00:00,198909,198912,198912,100.828125,100.78125,100.78125
1989-07-21 00:00:00,198909,198912,198912,100.453125,100.421875,100.421875
1989-07-24 00:00:00,198909,198912,198912,100.546875,100.53125,100.53125
1989-07-25 00:00:00,198909,198912,198912,100.890625,100.84375,100.84375
1989-07-27 00:00:00,198912,199003,199003,101.359375,,
1989-07-28 00:00:00,198912,199003,199003,101.609375,,
1989-07-31 00:00:00,198912,199003,199003,101.84375,,
1989-08-01 00:00:00,198912,199003,199003,102.015625,,
1989-08-02 00:00:00,198912,199003,199003,101.65625,,
1989-08-03 00:00:00,198912,199003,199003,101.296875,,
1989-08-04 00:00:00,198912,199003,199003,100.125,,
1989-08-07 00:00:00,198912,199003,199003,100.1875,,
1989-08-08 00:00:00,198912,199003,199003,100.21875,,
1989-08-09 00:00:00,198912,199003,199003,100.171875,,
1989-08-10 00:00:00,198912,199003,199003,100.25,,
1989-08-11 00:00:00,198912,199003,199003,99.625,,
1989-08-14 00:00:00,198912,199003,199003,98.9375,,
1989-08-15 00:00:00,198912,199003,199003,99.125,,
1989-08-16 00:00:00,198912,199003,199003,99.609375,,
1989-08-17 00:00:00,198912,199003,199003,99.3125,,
1989-08-18 00:00:00,198912,199003,199003,99.3125,,
1989-08-21 00:00:00,198912,199003,199003,98.96875,,
1989-08-22 00:00:00,198912,199003,199003,98.71875,,
1989-08-23 00:00:00,198912,199003,199003,98.890625,,
1989-08-24 00:00:00,198912,199003,199003,99.078125,,
1989-08-25 00:00:00,198912,199003,199003,99.0,,
1989-08-28 00:00:00,198912,199003,199003,98.796875,,
1989-08-29 00:00:00,198912,199003,199003,98.8125,,
1989-08-30 00:00:00,198912,199003,199003,98.921875,,
1989-08-31 00:00:00,198912,199003,199003,98.890625,,
1989-09-01 00:00:00,198912,199003,199003,99.40625,,
1989-09-05 00:00:00,198912,199003,199003,99.171875,,
1989-09-06 00:00:00,198912,199003,199003,99.1875,,
1989-09-07 00:00:00,198912,199003,199003,99.234375,,
1989-09-08 00:00:00,198912,199003,199003,99.375,,
1989-09-11 00:00:00,198912,199003,199003,99.609375,,
1989-09-12 00:00:00,198912,199003,199003,99.703125,,
1989-09-13 00:00:00,198912,199003,199003,99.65625,,
1989-09-14 00:00:00,198912,199003,199003,99.8125,,
1989-09-15 00:00:00,198912,199003,199003,99.96875,,
1989-09-18 00:00:00,198912,199003,199003,99.90625,,
1989-09-19 00:00:00,198912,199003,199003,99.890625,,
1989-09-20 00:00:00,198912,199003,199003,99.515625,,
1989-09-21 00:00:00,198912,199003,199003,99.234375,99.265625,99.265625
1989-09-22 00:00:00,198912,199003,199003,99.203125,99.234375,99.234375
1989-09-25 00:00:00,198912,199003,199003,98.734375,98.765625,98.765625
1989-09-26 00:00:00,198912,199003,199003,98.8125,98.84375,98.84375
